A375_vitro_vehicle_rep1	A375_vitro_vehicle_rep2	A375_vitro_vehicle_rep3	A375_vitro_vem_6h_rep1	A375_vitro_vem_6h_rep2	A375_vitro_vem_6h_rep3	A375_vitro_vem_48h_rep1	A375_vitro_vem_48h_rep2	A375_vitro_vem_48h_rep3
ABCD4	372.600549512523	396.969610758139	361.312423681727	384.215609107012	348.741904941912	337.980829268711	416.831043419647	424.413784982079	390.911815516628
ABCE1	2482.2543650623	1787.44786483446	1820.6758849587	2110.72922854696	1432.96613241265	1646.51471555906	898.998698803881	840.566474392731	786.240713694461
ABCF1	1902.88675004565	1696.3400853162	2004.15485010958	1502.46973484558	1645.75780322467	1815.50513019341	1145.45832368296	1403.35361019622	1320.70771570025
ABCF2	1380.1964017154	1287.43969390686	1337.98506894639	1264.66876961822	1297.01589828275	1435.27669726611	894.036424477457	996.494653303422	980.592350787474
ABCF3	534.235717470069	447.946582631452	512.80018465245	583.693278285334	635.841778259709	592.608278346151	498.708569805649	487.404638714212	557.656685977111
ABCG1	23.0907382796493	34.7077255307662	46.1049707302203	60.9242142318025	16.0438164501122	27.4038510217874	62.8554748013753	40.2728409107082	61.8391572568677
ABCG2	50.379792610144	39.046191222112	54.5732306602608	56.0109711485926	36.3096898607802	53.6658749176669	7.44341148963655	20.6527389285683	28.7110372978315
ABCG4	11.5453691398247	11.9307806512009	7.52734216003597	7.86118893313581	10.9773480974452	7.99278988135464	9.92454865284873	17.5548280892831	22.0854133060242
ABCG5	9.446211114402	1.08461642283644	12.2319310100585	1.96529723328395	1.68882278422234	3.42548137772342	1.65409144214146	5.16318473214208	1.10427066530121
ABCG8	1.04957901271133	0	0.940917770004496	0	0.844411392111168	1.14182712590781	0	0	0
ABHD1	44.082318533876	41.2154240677849	53.6323128902563	36.3579988157531	59.9532088398929	39.9639494067732	69.4718405699411	72.2845862499891	61.8391572568677
ABHD10	675.928884186099	629.077525245138	646.410507993089	768.431218214025	794.591119976609	794.711679631833	633.517022340178	667.083467392757	711.150308453979
ABHD11	177.378853148215	178.961709768013	183.478965150877	129.709617396741	157.904930324788	191.826957152511	138.943681139882	165.221911428547	172.266223786989
ABHD11-AS1	1.04957901271133	20.6077120338924	12.2319310100585	4.91324308320988	15.199405058001	22.8365425181561	47.9686518221022	58.8603059464197	48.5879092732532
ABHD12	668.581831097119	861.185439732137	986.081822964712	765.483272364099	976.13956928051	1001.38238942115	742.687057521514	1146.22701053554	1057.89129735856
ABHD12B	5.24789506355667	8.67693138269155	7.52734216003597	7.86118893313581	10.9773480974452	9.13461700726245	23.1572801899804	27.8811975535672	33.1281199590363
ABHD13	544.731507597182	522.785115807166	509.977431342437	480.515173537926	467.803911229587	438.461616348598	584.721324797005	519.416384053493	552.135332650605
ABHD14A	52.4789506355667	48.80773902764	105.382790240504	76.6465920980741	102.173778445451	123.317329598043	141.424818303094	146.634446392835	124.782585179037
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0
ABHD14B	1076.86806704183	1477.24756790324	1728.46594349826	1255.82493206844	1513.18521466321	1725.3007872467	1778.14830030206	2337.89004671393	2195.29008261881
ABHD15	193.122538338885	311.28491335406	290.743590931389	254.505991710272	341.142202412912	299.158706987845	377.959894529323	453.327619482075	460.480867430604
ABHD16A	288.634228495617	259.22332505791	298.270933091425	280.054855742963	283.722227749352	293.449571358306	349.013294291847	318.052179499952	335.698282251568
ABHD16B	65.0738987881027	56.4000539874951	76.2143393703642	69.7680517815803	54.0423290951148	66.2259733026528	69.4718405699411	53.6971212142776	50.7964506038556
ABHD2	1922.82875128716	2122.59433949092	1422.6676682468	1543.74097674454	1985.21118285336	1612.25990178182	4933.32772618689	3274.49175712451	3676.11704478773
ABHD3	189.973801300751	238.615613024018	267.220646681277	201.442966411605	208.569613851458	258.052930455164	107.515943739195	93.9699621249859	126.991126509639
ABHD4	142.742745728741	98.7000944781164	177.83345853085	230.922424910864	270.211645475574	475.000084377647	427.582637793566	580.34196389277	608.453136580967
ABHD5	354.757706296431	287.423352051658	334.966726121601	332.135232424988	281.188993573019	335.697175016895	230.745756178733	254.02868882139	277.171936990604
ABHD6	240.353593910895	331.892625387952	371.662519151776	160.171724512642	218.702550556793	271.754855966058	291.947139537967	324.248001178523	377.660567533014
ABHD8	278.138438368503	507.600485887456	437.526763052091	290.863990526025	450.071271995253	453.305368985399	674.869308393714	712.519493035607	619.495843233979
ABI1	579.367615016656	489.162006699236	503.391006952406	658.374573150124	473.714790974365	470.432775874016	677.350445556926	649.528639303474	702.316143131569
ABI2	873.249738575829	927.34704152516	625.71031705299	863.748134028297	646.819126357155	534.375094924853	688.102039930846	653.659187089187	611.76594857687
ABI3	3.148737038134	1.08461642283644	3.76367108001799	1.96529723328395	2.5332341763335	1.14182712590781	0	0	1.10427066530121
ABI3BP	58.7764247118347	14.1000134968738	5.64550662002698	54.0456739153087	16.0438164501122	5.70913562953903	1664.0159907943	359.357657357089	304.778703623134
ABL1	1346.60987330864	1746.23244076668	1497.94108984716	1546.68892259447	1473.49787923399	1542.60844710145	1405.15068009917	1248.45806823196	1436.65613555687
ABL2	1337.16366219424	1039.06253307731	1094.28736651523	1759.92367240578	1040.31483508096	2051.86334525633	1017.266236917	742.465964482031	982.800892118077
ABLIM1	290.733386521039	430.592719866068	325.557548421556	345.892313057975	363.096898607802	363.101026038682	253.903036368713	318.052179499952	310.30005694964
ABLIM2	2.09915802542267	2.16923284567289	1.88183554000899	0	5.91087974477818	4.56730850363122	1.65409144214146	5.16318473214208	2.20854133060242
ABLIM3	44.082318533876	70.5000674843689	76.2143393703642	39.305944665679	41.3761582134472	69.6514546803762	108.342989460265	211.690574017825	298.153079631327
ABO	0	0	0	0	0	1.14182712590781	0	0	0
ABP1	0	0	0	0	0	0	0.827045721070728	1.03263694642842	0
ABR	2529.48542063431	2912.19509531585	2655.26994695269	2069.457986648	2231.77930934982	2261.95953642336	2837.59386899367	3186.71761667809	3065.45536687616
ABRA	0	0	0	0.982648616641976	0	0	0	0	0
ABT1	540.533191546337	480.485075316545	555.141484302653	381.267663257087	454.293328955808	437.31978922269	304.352825354028	356.259746517804	294.840267635423
ABTB1	466.013081643832	490.246623122073	605.010126112891	304.621071159013	269.367234083463	222.656289552022	519.384712832417	559.689224964202	471.523574083617
ABTB2	477.558450783657	484.823541007891	392.362710091875	160.171724512642	198.436677146124	199.819747033866	186.912332961985	347.998650946376	286.006102313013
ACAA1	517.442453266687	407.815774986503	543.850471062599	480.515173537926	518.468594756257	556.069810317102	765.017291990423	683.605658535611	701.211872466268
ACAA2	368.402233461678	396.969610758139	364.13517699174	409.764473139704	389.273651763248	337.980829268711	293.601230980108	388.271491857084	337.90682358217
ACACA	1321.41997700357	1699.59393458471	1342.68965779642	1673.45059414128	1573.98283489522	1472.95699242107	1134.70672930904	1496.29093537478	1808.79534976338
ACACB	126.999060538071	147.507833505756	103.500954700495	194.564426095111	177.326392343345	141.586563612568	393.673763229666	352.12919873209	371.034943541206
ACAD10	369.451812474389	555.323608492259	493.981829252361	480.515173537926	730.41585417616	569.771735827995	863.43573279784	1061.55078092841	967.34110280386
ACAD11	15.74368519067	14.1000134968738	16.9365198600809	27.5141612659753	22.7991075870015	18.2692340145249	28.1195545164047	26.8485606071388	20.981142640723
ACAD8	386.245076677771	345.992638884826	349.080492671668	399.937986973284	493.980664385033	452.163541859491	570.661547538802	456.42553032136	516.798671360966
ACAD9	575.169298965811	520.615882961493	530.677622282536	549.300576702864	624.020018770153	528.665959295314	420.966272025	497.731008178497	554.343873981207
ACADL	3.148737038134	4.33846569134578	1.88183554000899	7.86118893313581	1.68882278422234	5.70913562953903	4.96227432642437	2.06527389285683	7.72989465710847
ACADM	797.680049660613	685.477579232633	626.651234822995	787.101541930223	740.548790881494	647.415980389726	795.61798367004	927.307977892718	952.985584154944
ACADS	96.5612691694427	142.084751391574	135.492158880647	113.987239530469	174.793158167012	174.699550263894	503.670844132073	464.686625892787	516.798671360966
ACADSB	387.294655690482	452.285048322797	400.830970021915	538.491441919803	577.577392204039	503.545762525343	570.661547538802	651.593913196331	695.690519139762
ACADVL	5909.12984156481	6414.42152465473	7119.92476562402	5774.04327138825	7039.85777603081	6514.12375330403	9367.94688256813	8885.84092401652	7761.9185064022
ACAN	149.040219805009	174.623244076668	72.4506682903462	243.69685692721	180.70403791179	111.899058338965	352.32147717613	98.1005099106995	176.683306448194
ACAP1	9.446211114402	18.4384791882196	24.4638620201169	15.7223778662716	23.6435189791127	14.8437526368015	29.7736459585462	32.0117453392809	39.7537439508435
ACAP2	609.805406385285	650.769853701867	497.745500332379	684.906085799457	552.245050440704	528.665959295314	717.048640168321	830.240104928447	937.525794840727
ACAP3	753.597731126737	592.200566868699	751.793298233593	707.507003982222	699.172632668047	661.11790590062	1142.97718651975	909.753149803435	897.772050889884
ACAT1	1057.97564481302	1228.87040707369	1217.54759438582	1175.2477455038	1306.30442359598	1309.67571341625	1252.97426742215	1733.79743305331	1722.66223786989
ACAT2	924.679110198685	844.91619338959	1110.28296860531	887.331700827704	892.542841461505	997.956908043423	319.239648333301	455.392893374932	426.248476806267
ACBD3	1317.22166095272	1455.55523944651	1218.48851215582	1423.85784551422	1328.25911979087	1479.80795517652	1448.15705759484	1551.02069353548	1723.76650853519
ACBD4	60.8755827372573	130.153970740373	126.082981180603	94.3342671976297	126.661708816675	98.1971328280713	249.76780776336	250.930777982105	197.664449088917
ACBD5	692.72214838948	619.31597743961	663.34702785317	729.125273548346	674.684702296823	659.976078774712	642.614525271955	554.526040232059	692.377707143859
ACBD6	666.482673071697	682.223729964124	706.629245273377	669.183707933185	800.501999721387	789.002544002294	788.174572180404	783.771442339168	732.131451094702
ACBD7	70.3217938516593	80.2616152898969	79.0370926803777	113.987239530469	98.7961328770067	71.9351089321918	26.4654630742633	32.0117453392809	40.8580146161448
ACCN1	5.24789506355667	0	0	5.89589169985185	7.59970252900051	6.85096275544684	0.827045721070728	0	0
ACCN2	139.594008690607	248.377160829546	207.001909400989	170.980859295704	194.214620185569	196.394265656143	290.293048095825	332.50909674995	350.053800900484
ACCN3	48.2806345847213	34.7077255307662	57.3959839702743	28.4968098826173	56.5755632714483	43.3894307844966	77.7422977806484	74.349860142846	79.5074879016871
ACCN4	6.297474076268	8.67693138269155	8.46825993004047	7.86118893313581	6.75529113688934	5.70913562953903	9.09750293177801	17.5548280892831	17.6683306448194
ACCN5	0	1.08461642283644	0	1.96529723328395	2.5332341763335	1.14182712590781	0.827045721070728	1.03263694642842	0
ACCS	128.048639550783	150.761682774266	164.660609750787	211.269452578025	236.435189791127	232.932733685192	526.001078600983	473.980358410643	400.850251504339
ACCSL	2.09915802542267	0	0	0	0	0	0.827045721070728	3.09791083928525	0
ACD	499.599610050595	517.362033692984	594.660030642842	430.400094089185	395.184531508027	430.468826467243	264.654630742633	355.227109571375	318.029951606748
ACE	10.4957901271133	7.59231495985511	1.88183554000899	11.7917833997037	5.06646835266701	6.85096275544684	42.1793317746071	41.3054778571366	33.1281199590363
ACE2	5.24789506355667	0	0.940917770004496	7.86118893313581	0.844411392111168	3.42548137772342	6.61636576856582	0	1.10427066530121
ACER1	0	0	0	0	0	0	0	0	0
ACER2	45.1318975465873	28.2000269937476	37.6367108001798	34.3927015824692	29.5543987238909	57.0913562953903	9.92454865284873	16.5221911428547	24.2939546366266
ACER3	292.832544546462	268.984872863438	217.352004871039	304.621071159013	278.655759396685	293.449571358306	362.246025828979	327.345912017808	389.807544851327
ACHE	6.297474076268	8.67693138269155	11.291013240054	0.982648616641976	0.844411392111168	1.14182712590781	4.13522860535364	4.13054778571366	3.31281199590363
ACIN1	2188.37224150313	2058.60197054357	1967.4590570794	2227.66441392736	2181.11462582315	2206.01000725388	1764.08852304386	1728.63424832117	1614.44371267037
ACLY	5128.24305610757	5789.68246510094	4938.8773747536	5096.99837452193	4689.86087178543	4880.16913612996	3227.95944933905	3425.25675130306	3699.30672875905
ACMSD	1.04957901271133	3.25384926850933	5.64550662002698	4.91324308320988	2.5332341763335	12.5600983849859	6.61636576856582	2.06527389285683	3.31281199590363
ACN9	245.601488974452	214.754051721616	233.347606961115	296.759882225877	211.947259419903	207.812536915221	186.085287240914	187.939924249972	155.702163807471
ACO1	366.303075436255	476.146609625199	492.099993712352	409.764473139704	523.535063108924	638.281363382464	487.956975431729	586.53778557134	705.628955127473
ACO2	1069.52101395285	1164.87803812634	1331.39864455636	989.52715695847	1237.90710083497	1378.18534097072	1069.37011734445	1681.13294878546	1655.30172728651
ACOT1	30.4377913686287	16.2692463425467	15.9956020900764	28.4968098826173	23.6435189791127	28.5456781476952	43.0063774956778	40.2728409107082	35.3366612896387
ACOT11	7.34705308897933	3.25384926850933	9.40917770004496	12.7744320163457	12.6661708816675	3.42548137772342	6.61636576856582	6.1958216785705	7.72989465710847
ACOT12	2.09915802542267	0	0	1.96529723328395	0	0	1.65409144214146	3.09791083928525	2.20854133060242
ACOT13	218.312434643957	208.246353184597	286.979919851371	224.04388459437	293.855164454686	283.173127225136	230.745756178733	292.236255839242	283.797560982411
ACOT2	177.378853148215	222.346366681471	222.997511491066	181.789994078766	195.05903157768	251.201967699717	272.098042232269	265.387695232103	272.754854329399
ACOT4	0	0	0	0	0	0	3.30818288428291	1.03263694642842	1.10427066530121
ACOT6	0	0	0	0.982648616641976	0	1.14182712590781	0	1.03263694642842	0
ACOT7	2384.64351688015	2718.04875562813	3339.31716574596	1820.84788663758	1646.60221461678	2015.32487722728	725.319097379028	876.708767517725	934.212982844824
ACOT8	335.865284067627	336.231091079298	476.104391622275	331.152583808346	405.317468213361	411.05776532681	457.356283752113	544.199670767775	505.755964707954
ACOT9	620.301196512398	521.70049938433	516.563855732468	549.300576702864	445.004803642586	608.593858108861	434.199003562132	473.980358410643	482.566280736629
ACOX1	538.434033520914	514.108184424475	545.732306602608	526.699658520099	569.133278282927	606.310203857045	643.441570993026	633.006448160619	714.463120449883
ACOX2	150.089798817721	168.115545539649	203.238238320971	99.2475102808395	124.128474640342	125.600983849859	17.3679601424853	23.7506497678536	29.8153079631327
ACOX3	283.38633343206	323.21569400526	273.807071071308	279.072207126321	345.364259373468	380.228432927299	264.654630742633	314.954268660667	293.735996970122
ACOXL	0	1.08461642283644	0.940917770004496	0.982648616641976	0	0	5.78932004749509	3.09791083928525	0
ACP1	1091.56217321979	953.377835673235	1062.29616233508	1180.16098858701	1031.02630976774	1017.36796918386	846.894818376425	918.014245374862	849.18414161663
ACP2	475.459292758234	646.431388010521	648.292343533098	498.202848637482	811.479347818832	761.598692980507	786.520480738262	942.797532089144	929.795900183619
ACP5	195.221696364308	298.269516280022	534.441293362554	135.605509096593	276.966936612463	502.403935399435	620.284290803046	1766.84181533902	1953.45480691784
ACP6	574.119719953099	611.723662479755	568.314333082716	507.046686187259	513.40212640359	424.759690837704	564.872227491307	449.197071696361	424.039935475665
ACPL2	1421.12998321115	1253.81658479893	875.994443874186	477.567227688	364.785721392025	266.045720336519	241.497350552653	226.147491267823	187.726013101206
ACPP	86.0654790423293	67.2462182158596	76.2143393703642	61.9068628484445	37.9985126450026	54.8077020435747	11.5786400949902	32.0117453392809	25.3982253019278
ACPT	1.04957901271133	2.16923284567289	0.940917770004496	0	1.68882278422234	2.28365425181561	0.827045721070728	0	0
ACR	0	0	0	0	0	0	0	0	0
ACRBP	0	0	0.940917770004496	2.94794584992593	0.844411392111168	1.14182712590781	3.30818288428291	1.03263694642842	4.41708266120484
ACRC	25.189896305072	5.42308211418222	8.46825993004047	15.7223778662716	8.44411392111168	12.5600983849859	32.2547831217584	7.22845862499891	6.62562399180726
ACRV1	13.6445271652473	5.42308211418222	11.291013240054	32.4274043491852	12.6661708816675	17.1274068886171	7.44341148963655	10.3263694642842	4.41708266120484
ACSBG1	7.34705308897933	4.33846569134578	3.76367108001799	6.87854031649383	6.75529113688934	5.70913562953903	96.7643493652752	60.9255798392766	85.0288412281931
ACSBG2	3.148737038134	3.25384926850933	3.76367108001799	5.89589169985185	10.132936705334	6.85096275544684	5.78932004749509	1.03263694642842	3.31281199590363
ACSF2	50.379792610144	121.477039357682	80.9189282203867	71.7333490148642	105.551424013896	78.7860716876386	188.566424404126	272.616153857102	204.290073080724
ACSF3	362.10475938541	420.83117206054	482.690816012307	326.239340725136	513.40212640359	459.014504614938	351.494431455059	527.677479624921	450.542431442894
ACSL1	586.714668105635	445.777349785779	630.414905903012	771.379164063951	1076.62452494174	1444.41131427337	1110.72240339799	1120.41108687483	1268.80699443109
ACSL3	3989.44982731578	6911.17584631382	6615.59284090161	2328.87722144148	2034.1870435958	2274.51963480835	1012.30396259057	1467.37710087478	1439.96894755278
ACSL4	958.265638605447	1187.65498300591	1002.07742505479	798.893325329926	780.236126310719	726.202052077365	572.315638980944	588.603059464197	674.709376499039
ACSL5	6.297474076268	7.59231495985511	5.64550662002698	4.91324308320988	6.75529113688934	9.13461700726245	55.4120633117388	60.9255798392766	82.8202998975907
ACSL6	5.24789506355667	7.59231495985511	1.88183554000899	5.89589169985185	7.59970252900051	4.56730850363122	9.09750293177801	5.16318473214208	15.4597893142169
ACSM1	0	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0	0
ACSM3	117.552849423669	80.2616152898969	85.6235170704092	119.883131230321	99.6405442691178	106.189922709426	81.0504806649313	79.513044874988	76.1946759057835
ACSM4	0	0	0	0.982648616641976	0.844411392111168	0	1.65409144214146	0	0
